Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status
112,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4309,10000000,691,3627829,,,,,,,,,,
113,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4341,10000000,691,3627829,,,,,,,,,,
114,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5815,10000000,691,3627829,,,,,,,,,,
115,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4345,10000000,691,3627829,,,,,,,,,,
116,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5851,10000000,691,3627829,,,,,,,,,,
117,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4297,10000000,691,3627829,,,,,,,,,,
118,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5845,10000000,691,3627829,,,,,,,,,,
119,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4307,10000000,691,3627829,,,,,,,,,,
120,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4323,10000000,691,3627829,,,,,,,,,,
121,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5859,10000000,691,3627829,,,,,,,,,,
122,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5823,10000000,691,3627829,,,,,,,,,,
123,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5856,10000000,691,3627829,,,,,,,,,,
124,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5868,10000000,691,3627829,,,,,,,,,,
125,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5870,10000000,691,3627829,,,,,,,,,,
126,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5846,10000000,691,3627829,,,,,,,,,,
127,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5866,10000000,691,3627829,,,,,,,,,,
128,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5848,10000000,691,3627829,,,,,,,,,,
129,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5852,10000000,691,3627829,,,,,,,,,,
130,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5874,10000000,691,3627829,,,,,,,,,,
131,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5872,10000000,691,3627829,,,,,,,,,,
132,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5850,10000000,691,3627829,,,,,,,,,,
133,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5858,10000000,691,3627829,,,,,,,,,,
134,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5864,10000000,691,3627829,,,,,,,,,,
135,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5862,10000000,691,3627829,,,,,,,,,,
136,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5860,10000000,691,3627829,,,,,,,,,,
137,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5854,10000000,691,3627829,,,,,,,,,,
138,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5818,10000000,691,3627829,,,,,,,,,,
139,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5840,10000000,691,3627829,,,,,,,,,,
140,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5844,10000000,691,3627829,,,,,,,,,,
141,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5836,10000000,691,3627829,,,,,,,,,,
142,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5820,10000000,691,3627829,,,,,,,,,,
143,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5828,10000000,691,3627829,,,,,,,,,,
144,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5832,10000000,691,3627829,,,,,,,,,,
145,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5842,10000000,691,3627829,,,,,,,,,,
146,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5830,10000000,691,3627829,,,,,,,,,,
147,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5834,10000000,691,3627829,,,,,,,,,,
148,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5824,10000000,691,3627829,,,,,,,,,,
149,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5822,10000000,691,3627829,,,,,,,,,,
150,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5826,10000000,691,3627829,,,,,,,,,,
151,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5838,10000000,691,3627829,,,,,,,,,,
152,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5802,10000000,691,3627829,,,,,,,,,,
153,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4342,10000000,691,3627829,,,,,,,,,,
154,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4334,10000000,691,3627829,,,,,,,,,,
155,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5804,10000000,691,3627829,,,,,,,,,,
156,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4340,10000000,691,3627829,,,,,,,,,,
157,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4348,10000000,691,3627829,,,,,,,,,,
158,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4346,10000000,691,3627829,,,,,,,,,,
159,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4330,10000000,691,3627829,,,,,,,,,,
160,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4344,10000000,691,3627829,,,,,,,,,,
161,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4338,10000000,691,3627829,,,,,,,,,,
162,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4332,10000000,691,3627829,,,,,,,,,,
163,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4336,10000000,691,3627829,,,,,,,,,,
164,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5806,10000000,691,3627829,,,,,,,,,,
165,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4350,10000000,691,3627829,,,,,,,,,,
166,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6603,10000000,691,3627829,,,,,,,,,,
167,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5886,10000000,691,3627829,,,,,,,,,,
168,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5896,10000000,691,3627829,,,,,,,,,,
169,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5890,10000000,691,3627829,,,,,,,,,,
170,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5888,10000000,691,3627829,,,,,,,,,,
171,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6609,10000000,691,3627829,,,,,,,,,,
172,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5882,10000000,691,3627829,,,,,,,,,,
173,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6607,10000000,691,3627829,,,,,,,,,,
174,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6611,10000000,691,3627829,,,,,,,,,,
175,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5892,10000000,691,3627829,,,,,,,,,,
176,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5894,10000000,691,3627829,,,,,,,,,,
177,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6605,10000000,691,3627829,,,,,,,,,,
178,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5885,10000000,691,3627829,,,,,,,,,,
179,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5871,10000000,691,3300196,,,,,,,,,,
180,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5875,10000000,691,3627829,,,,,,,,,,
181,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5873,10000000,691,3627829,,,,,,,,,,
182,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2588,10000000,691,3300196,,,,,,,,,,
183,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2793,10000000,691,3300196,,,,,,,,,,
