Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status
469,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5254,10000000,691,3627829,,,,,,,,,,
470,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5257,10000000,691,3627829,,,,,,,,,,
471,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5258,10000000,691,3627829,,,,,,,,,,
472,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11010,1000000,691,3300196,,,,,,,,,,
473,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11004,1000000,691,3300196,,,,,,,,,,
474,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11006,1000000,691,3300196,,,,,,,,,,
475,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11002,1000000,691,3300196,,,,,,,,,,
476,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11008,1000000,691,3300196,,,,,,,,,,
477,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,772,1000000,691,3300196,,,,,,,,,,
478,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,774,1000000,691,3300196,,,,,,,,,,
479,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,770,1000000,691,3300196,,,,,,,,,,
480,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,766,1000000,691,3300196,,,,,,,,,,
481,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,768,1000000,691,3300196,,,,,,,,,,
482,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,7523,1000000,691,3300196,,,,,,,,,,
483,2019-04-12,SHIVSENA,*******4444,OC,6639,10000000,300,6283527,,,,,,,,,,
484,2019-04-12,SHIVSENA,*******4444,OC,6633,10000000,300,6283527,,,,,,,,,,
485,2019-04-12,SHIVSENA,*******4444,TL,6859,1000000,300,6283527,,,,,,,,,,
486,2019-04-12,SHIVSENA,*******4444,TL,6857,1000000,300,6283527,,,,,,,,,,
487,2019-04-12,SHIVSENA,*******4444,TL,6861,1000000,300,6283527,,,,,,,,,,
488,2019-04-12,SHIVSENA,*******4444,TL,6853,1000000,300,6283527,,,,,,,,,,
489,2019-04-12,SHIVSENA,*******4444,TL,6855,1000000,300,6283527,,,,,,,,,,
490,2019-04-12,SHIVSENA,*******4444,TL,12332,1000000,300,6283527,,,,,,,,,,
491,2019-04-12,SHIVSENA,*******4444,TL,12330,1000000,300,6283527,,,,,,,,,,
492,2019-04-12,SHIVSENA,*******4444,TL,12428,1000000,300,6283527,,,,,,,,,,
493,2019-04-12,SHIVSENA,*******4444,TL,12426,1000000,300,6283527,,,,,,,,,,
494,2019-04-12,SHIVSENA,*******4444,TL,12424,1000000,300,6283527,,,,,,,,,,
495,2019-04-12,SHIVSENA,*******4444,TL,12430,1000000,300,6283527,,,,,,,,,,
496,2019-04-12,SHIVSENA,*******4444,TL,12422,1000000,300,6283527,,,,,,,,,,
497,2019-04-12,SHIVSENA,*******4444,TL,12490,1000000,300,6283527,,,,,,,,,,
498,2019-04-12,SHIVSENA,*******4444,TL,12486,1000000,300,6283527,,,,,,,,,,
499,2019-04-12,SHIVSENA,*******4444,TL,12495,1000000,300,6283527,,,,,,,,,,
500,2019-04-12,SHIVSENA,*******4444,TL,12488,1000000,300,6283527,,,,,,,,,,
501,2019-04-12,SHIVSENA,*******4444,TL,12499,1000000,300,6283527,,,,,,,,,,
502,2019-04-12,TELUGU DESAM PARTY,*******3067,TL,12011,1000000,847,3367975,,,,,,,,,,
503,2019-04-12,TELUGU DESAM PARTY,*******3067,TL,12009,1000000,847,3367975,,,,,,,,,,
504,2019-04-12,TELUGU DESAM PARTY,*******3067,TL,12030,1000000,847,3367975,,,,,,,,,,
505,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,4272,10000000,847,3367975,,,,,,,,,,
506,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,4536,10000000,847,3367975,,,,,,,,,,
507,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,4526,10000000,847,3367975,,,,,,,,,,
508,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,4538,10000000,847,3367975,,,,,,,,,,
509,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,4518,10000000,847,3367975,,,,,,,,,,
510,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OC,5353,10000000,847,3367975,,,,,,,,,,
511,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,TL,7536,1000000,847,3367975,,,,,,,,,,
512,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,TL,7538,1000000,847,3367975,,,,,,,,,,
513,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OL,23624,100000,847,3367975,,,,,,,,,,
514,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OL,23620,100000,847,3367975,,,,,,,,,,
515,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OL,23618,100000,847,3367975,,,,,,,,,,
516,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OL,23622,100000,847,3367975,,,,,,,,,,
517,2019-04-12,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),*******6354,OL,23626,100000,847,3367975,,,,,,,,,,
518,2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OL,162,100000,800,2770121,,,,,,,,,,
519,2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OL,187,100000,800,2770121,,,,,,,,,,
520,2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OL,174,100000,800,2770121,,,,,,,,,,
521,2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OL,179,100000,800,2770121,,,,,,,,,,
522,2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OL,165,100000,800,2770121,,,,,,,,,,
523,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4314,10000000,691,4567455,,,,,,,,,,
524,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4318,10000000,691,4567455,,,,,,,,,,
525,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4316,10000000,691,4567455,,,,,,,,,,
526,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,3676,10000000,691,4567455,,,,,,,,,,
527,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,3679,10000000,691,4567455,,,,,,,,,,
528,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,3680,10000000,691,4567455,,,,,,,,,,
529,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,3682,10000000,691,4567455,,,,,,,,,,
530,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,3681,10000000,691,4567455,,,,,,,,,,
531,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2617,10000000,691,4567455,,,,,,,,,,
532,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2602,10000000,691,4567455,,,,,,,,,,
533,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2594,10000000,691,4567455,,,,,,,,,,
534,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2595,10000000,691,4567455,,,,,,,,,,
535,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4512,10000000,691,4567455,,,,,,,,,,
536,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4519,10000000,691,4567455,,,,,,,,,,
537,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2597,10000000,691,4567455,,,,,,,,,,
538,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4532,10000000,691,4567455,,,,,,,,,,
539,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4511,10000000,691,4567455,,,,,,,,,,
540,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4533,10000000,691,4567455,,,,,,,,,,
541,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4523,10000000,691,4567455,,,,,,,,,,
542,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4508,10000000,691,4567455,,,,,,,,,,
543,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4530,10000000,691,4567455,,,,,,,,,,
544,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4514,10000000,691,4567455,,,,,,,,,,
545,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4516,10000000,691,4567455,,,,,,,,,,
546,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4534,10000000,691,4567455,,,,,,,,,,
547,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2598,10000000,691,4567455,,,,,,,,,,
548,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4520,10000000,691,4567455,,,,,,,,,,
549,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4513,10000000,691,4567455,,,,,,,,,,
550,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4515,10000000,691,4567455,,,,,,,,,,
551,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4524,10000000,691,4567455,,,,,,,,,,
552,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2599,10000000,691,4567455,,,,,,,,,,
553,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4517,10000000,691,4567455,,,,,,,,,,
554,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4521,10000000,691,4567455,,,,,,,,,,
555,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4527,10000000,691,4567455,,,,,,,,,,
556,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,2600,10000000,691,4567455,,,,,,,,,,
557,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4529,10000000,691,4567455,,,,,,,,,,
558,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4525,10000000,691,4567455,,,,,,,,,,
559,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4531,10000000,691,4567455,,,,,,,,,,
560,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4522,10000000,691,4567455,,,,,,,,,,
561,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,4528,10000000,691,4567455,,,,,,,,,,
562,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,5165,10000000,691,4567455,,,,,,,,,,
563,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,5167,10000000,691,4567455,,,,,,,,,,
564,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,5166,10000000,691,4567455,,,,,,,,,,
565,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OC,5259,10000000,691,4567455,,,,,,,,,,
566,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,6871,1000000,691,4567455,,,,,,,,,,
567,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,6865,1000000,691,4567455,,,,,,,,,,
568,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,6863,1000000,691,4567455,,,,,,,,,,
569,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,6867,1000000,691,4567455,,,,,,,,,,
570,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,6869,1000000,691,4567455,,,,,,,,,,
571,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12372,1000000,691,4567455,,,,,,,,,,
572,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12366,1000000,691,4567455,,,,,,,,,,
573,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12380,1000000,691,4567455,,,,,,,,,,
574,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12382,1000000,691,4567455,,,,,,,,,,
575,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12376,1000000,691,4567455,,,,,,,,,,
576,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12374,1000000,691,4567455,,,,,,,,,,
577,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12368,1000000,691,4567455,,,,,,,,,,
578,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12370,1000000,691,4567455,,,,,,,,,,
579,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12378,1000000,691,4567455,,,,,,,,,,
580,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12362,1000000,691,4567455,,,,,,,,,,
581,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12360,1000000,691,4567455,,,,,,,,,,
582,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12377,1000000,691,4567455,,,,,,,,,,
583,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12364,1000000,691,4567455,,,,,,,,,,
584,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12381,1000000,691,4567455,,,,,,,,,,
585,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12379,1000000,691,4567455,,,,,,,,,,
586,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12803,1000000,691,4567455,,,,,,,,,,
587,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12491,1000000,691,4567455,,,,,,,,,,
588,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12497,1000000,691,4567455,,,,,,,,,,
589,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12801,1000000,691,4567455,,,,,,,,,,
590,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12493,1000000,691,4567455,,,,,,,,,,
591,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11226,1000000,691,4567455,,,,,,,,,,
592,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11229,1000000,691,4567455,,,,,,,,,,
593,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11231,1000000,691,4567455,,,,,,,,,,
594,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11230,1000000,691,4567455,,,,,,,,,,
595,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11227,1000000,691,4567455,,,,,,,,,,
596,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11250,1000000,691,4567455,,,,,,,,,,
597,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11254,1000000,691,4567455,,,,,,,,,,
598,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11260,1000000,691,4567455,,,,,,,,,,
599,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11256,1000000,691,4567455,,,,,,,,,,
600,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11258,1000000,691,4567455,,,,,,,,,,
601,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11252,1000000,691,4567455,,,,,,,,,,
602,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11251,1000000,691,4567455,,,,,,,,,,
603,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11259,1000000,691,4567455,,,,,,,,,,
604,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11257,1000000,691,4567455,,,,,,,,,,
605,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,11253,1000000,691,4567455,,,,,,,,,,
606,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3231,1000000,691,4567455,,,,,,,,,,
607,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3237,1000000,691,4567455,,,,,,,,,,
608,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3241,1000000,691,4567455,,,,,,,,,,
609,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3240,1000000,691,4567455,,,,,,,,,,
610,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3227,1000000,691,4567455,,,,,,,,,,
611,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3235,1000000,691,4567455,,,,,,,,,,
612,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3239,1000000,691,4567455,,,,,,,,,,
613,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3242,1000000,691,4567455,,,,,,,,,,
614,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3229,1000000,691,4567455,,,,,,,,,,
615,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,3233,1000000,691,4567455,,,,,,,,,,
616,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12026,1000000,691,4567455,,,,,,,,,,
617,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12028,1000000,691,4567455,,,,,,,,,,
618,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12022,1000000,691,4567455,,,,,,,,,,
619,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12027,1000000,691,4567455,,,,,,,,,,
620,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,12024,1000000,691,4567455,,,,,,,,,,
621,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,10900,1000000,691,4567455,,,,,,,,,,
622,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,10899,1000000,691,4567455,,,,,,,,,,
623,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,10901,1000000,691,4567455,,,,,,,,,,
624,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,10898,1000000,691,4567455,,,,,,,,,,
625,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,10897,1000000,691,4567455,,,,,,,,,,
626,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9424,1000000,691,4567455,,,,,,,,,,
627,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9421,1000000,691,4567455,,,,,,,,,,
628,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9427,1000000,691,4567455,,,,,,,,,,
629,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9419,1000000,691,4567455,,,,,,,,,,
630,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9415,1000000,691,4567455,,,,,,,,,,
631,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9423,1000000,691,4567455,,,,,,,,,,
632,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9425,1000000,691,4567455,,,,,,,,,,
633,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9422,1000000,691,4567455,,,,,,,,,,
634,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9426,1000000,691,4567455,,,,,,,,,,
635,2019-04-15,BHARATIYA JANATA PARTY,*******8244,TL,9420,1000000,691,4567455,,,,,,,,,,
636,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OL,3063,100000,691,4567455,,,,,,,,,,
637,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OL,3073,100000,691,4567455,,,,,,,,,,
638,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OL,3085,100000,691,4567455,,,,,,,,,,
639,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OL,3071,100000,691,4567455,,,,,,,,,,
640,2019-04-15,BHARATIYA JANATA PARTY,*******8244,OL,3097,100000,691,4567455,,,,,,,,,,
641,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,2604,10000000,800,2770121,,,,,,,,,,
642,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5361,10000000,800,2770121,,,,,,,,,,
643,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5734,10000000,800,2770121,,,,,,,,,,
644,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5740,10000000,800,2770121,,,,,,,,,,
645,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5742,10000000,800,2770121,,,,,,,,,,
646,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5737,10000000,800,2770121,,,,,,,,,,
647,2019-04-15,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,5745,10000000,800,2770121,,,,,,,,,,
648,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,11222,1000000,691,3627829,,,,,,,,,,
649,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,11224,1000000,691,3627829,,,,,,,,,,
650,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,11221,1000000,691,3627829,,,,,,,,,,
651,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,11225,1000000,691,3627829,,,,,,,,,,
652,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,11223,1000000,691,3627829,,,,,,,,,,
653,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7528,1000000,691,3627829,,,,,,,,,,
654,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7530,1000000,691,3627829,,,,,,,,,,
655,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7526,1000000,691,3627829,,,,,,,,,,
656,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7524,1000000,691,3627829,,,,,,,,,,
657,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7531,1000000,691,3627829,,,,,,,,,,
658,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12038,1000000,691,3627829,,,,,,,,,,
659,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12045,1000000,691,3627829,,,,,,,,,,
660,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12041,1000000,691,3627829,,,,,,,,,,
661,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12036,1000000,691,3627829,,,,,,,,,,
662,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12043,1000000,691,3627829,,,,,,,,,,
663,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12040,1000000,691,3627829,,,,,,,,,,
664,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12042,1000000,691,3627829,,,,,,,,,,
665,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12037,1000000,691,3627829,,,,,,,,,,
666,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12035,1000000,691,3627829,,,,,,,,,,
667,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12039,1000000,691,3627829,,,,,,,,,,
668,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7529,1000000,691,3627829,,,,,,,,,,
669,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7527,1000000,691,3627829,,,,,,,,,,
670,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,12033,1000000,691,3627829,,,,,,,,,,
671,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7525,1000000,691,3627829,,,,,,,,,,
672,2019-04-15,JANATA DAL ( SECULAR ),*******3286,TL,7532,1000000,691,3627829,,,,,,,,,,
673,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,6856,1000000,300,6283527,,,,,,,,,,
674,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,6854,1000000,300,6283527,,,,,,,,,,
675,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,6858,1000000,300,6283527,,,,,,,,,,
676,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,6862,1000000,300,6283527,,,,,,,,,,
677,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,6860,1000000,300,6283527,,,,,,,,,,
678,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12420,1000000,300,6283527,,,,,,,,,,
679,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12436,1000000,300,6283527,,,,,,,,,,
680,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12440,1000000,300,6283527,,,,,,,,,,
681,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12432,1000000,300,6283527,,,,,,,,,,
682,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12438,1000000,300,6283527,,,,,,,,,,
683,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12444,1000000,300,6283527,,,,,,,,,,
684,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12448,1000000,300,6283527,,,,,,,,,,
685,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12446,1000000,300,6283527,,,,,,,,,,
686,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12434,1000000,300,6283527,,,,,,,,,,
687,2019-04-15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,*******6138,TL,12442,1000000,300,6283527,,,,,,,,,,
688,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5863,10000000,691,3627829,,,,,,,,,,
689,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5865,10000000,691,3627829,,,,,,,,,,
690,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5867,10000000,691,3627829,,,,,,,,,,
691,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5869,10000000,691,3627829,,,,,,,,,,
692,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2792,10000000,691,3627829,,,,,,,,,,
693,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2796,10000000,691,3627829,,,,,,,,,,
694,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2794,10000000,691,3627829,,,,,,,,,,
695,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2608,10000000,691,3627829,,,,,,,,,,
696,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2610,10000000,691,3627829,,,,,,,,,,
697,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2601,10000000,691,3627829,,,,,,,,,,
698,2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2605,10000000,691,3627829,,,,,,,,,,
