Date of Encashment,Name of the Political Party,Denomination,count
2020-10-22,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2020-10-23,ALL INDIA TRINAMOOL CONGRESS,1000000,4
2020-10-23,BIJU JANATA DAL,10000000,50
2020-10-23,DMK PARTY IN PARLIAMENT,10000000,60
2020-10-27,BIJU JANATA DAL,10000000,12
2020-10-28,BIJU JANATA DAL,10000000,5
2020-10-29,DMK PARTY IN PARLIAMENT,10000000,20
2020-10-29,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2020-10-29,RASTRIYA JANTA DAL,10000000,1
2020-10-31,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2020-10-31,BIHAR PRADESH JANTA DAL(UNITED),10000000,1
2020-11-02,BHARTIYA JANTA PARTY,1000000,9
2020-11-02,BHARTIYA JANTA PARTY,10000000,18
2020-11-05,BHARTIYA JANTA PARTY,100000,9
2020-11-05,BHARTIYA JANTA PARTY,1000000,9
2020-11-05,BHARTIYA JANTA PARTY,10000000,1
2020-11-06,AAM AADMI PARTY,10000000,3
2020-11-07,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2020-11-07,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,89
2021-01-07,ALL INDIA TRINAMOOL CONGRESS,10000000,25
2021-01-13,AAM AADMI PARTY,100000,5
2021-01-13,AAM AADMI PARTY,1000000,2
2021-01-13,AAM AADMI PARTY,10000000,1
2021-01-13,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2021-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,5
2021-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,7
2021-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,20
2021-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2021-01-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,100000,5
2021-01-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,42
2021-01-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,2
2021-01-19,BHARTIYA JANTA PARTY,10000000,1
2021-01-20,BHARTIYA JANTA PARTY,10000,5
2021-01-20,BHARTIYA JANTA PARTY,100000,9
2021-01-20,BHARTIYA JANTA PARTY,1000000,4
2021-04-07,BIJU JANATA DAL,1000000,5
2021-04-07,BIJU JANATA DAL,10000000,54
2021-04-07,DMK PARTY IN PARLIAMENT,1000000,10
2021-04-07,DMK PARTY IN PARLIAMENT,10000000,102
2021-04-07,TELUGU DESAM PARTY,1000000,5
2021-04-07,TELUGU DESAM PARTY,10000000,2
2021-04-08,BHARTIYA JANTA PARTY,1000000,5
2021-04-08,BHARTIYA JANTA PARTY,10000000,114
2021-04-08,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2021-04-08,TELUGU DESAM PARTY,10000000,1
2021-04-09,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,8
2021-04-09,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,3
2021-04-09,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,25
2021-04-12,ALL INDIA TRINAMOOL CONGRESS,100000,34
2021-04-12,ALL INDIA TRINAMOOL CONGRESS,1000000,39
2021-04-12,ALL INDIA TRINAMOOL CONGRESS,10000000,46
2021-04-12,BHARTIYA JANTA PARTY,1000000,60
2021-04-12,BHARTIYA JANTA PARTY,10000000,167
2021-04-12,BIJU JANATA DAL,1000000,5
2021-04-12,BIJU JANATA DAL,10000000,54
2021-04-12,DMK PARTY IN PARLIAMENT,10000000,3
2021-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2021-04-13,AAM AADMI PARTY,1000000,2
2021-04-13,ALL INDIA TRINAMOOL CONGRESS,100000,10
2021-04-13,ALL INDIA TRINAMOOL CONGRESS,1000000,39
2021-04-13,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2021-04-13,BIJU JANATA DAL,10000000,7
2021-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,15
2021-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,46
2021-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,13
2021-04-15,AAM AADMI PARTY,100000,5
2021-04-15,AAM AADMI PARTY,1000000,1
2021-04-16,BHARTIYA JANTA PARTY,1000000,10
2021-04-16,BHARTIYA JANTA PARTY,10000000,3
2021-04-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2021-04-19,ALL INDIA TRINAMOOL CONGRESS,1000000,2
2021-04-19,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,60
2021-07-09,ALL INDIA TRINAMOOL CONGRESS,100000,5
2021-07-09,ALL INDIA TRINAMOOL CONGRESS,1000000,26
2021-07-12,ALL INDIA TRINAMOOL CONGRESS,10000000,61
2021-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,20
2021-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,15
2021-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,23
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,100000,20
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,1000000,28
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,100000,1
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,1000000,55
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,10000000,4
2021-07-14,BHARTIYA JANTA PARTY,1000000,50
2021-07-14,BHARTIYA JANTA PARTY,10000000,10
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,100000,23
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,1000000,32
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,10000,13
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,100000,16
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,1000000,28
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2021-07-17,BHARTIYA JANTA PARTY,10000000,3
2021-07-19,AAM AADMI PARTY,100000,5
2021-07-19,AAM AADMI PARTY,1000000,2
