Date of Encashment,Name of the Political Party,Denomination,count
2024-01-17,ALL INDIA TRINAMOOL CONGRESS,10000000,5
2024-01-17,BHARTIYA JANTA PARTY,1000000,20
2024-01-17,BHARTIYA JANTA PARTY,10000000,33
2024-01-17,JANASENA PARTY,10000000,15
2024-01-17,TELUGU DESAM PARTY,10000000,3
2024-01-18,ALL INDIA TRINAMOOL CONGRESS,1000000,90
2024-01-18,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2024-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2024-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2024-01-18,SIKKIM DEMOCRATIC FRONT,1000000,5
2024-01-19,BHARTIYA JANTA PARTY,10000000,50
2024-01-19,SIKKIM KRANTIKARI MORCHA,10000000,3
2024-01-19,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,3
2024-01-20,JANASENA PARTY,1000000,10
2024-01-20,RASTRIYA JANTA DAL,10000000,15
2024-01-22,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2024-01-22,TELUGU DESAM PARTY,10000000,3
2024-01-23,DMK PARTY IN PARLIAMENT,10000000,20
2024-01-24,BHARTIYA JANTA PARTY,10000000,7
2024-01-24,JANASENA PARTY,1000000,10
